supplier,scenario,split,unit,cohort,model,rows,skus,actual_total_qty,prediction_total_qty,mae_qty,mean_error_qty,wape_percent,bias_percent,zero_actual_rows,zero_actual_mae_qty,short_history_rows,macro_sku_wape_percent,macro_sku_wape_skus
IEK,unknown_blanks,validation,упак,paired_last_month,last_month,187,43,16421.00000000,16696.00000000,51.14973262,1.47058824,58.24858413,1.67468485,0,,2,89.62840523,43
IEK,unknown_blanks,validation,упак,paired_same_month_last_year,current,194,50,16465.00000000,16381.47090000,54.27204278,-0.43056237,63.94640935,-0.50731309,0,,0,111.72483636,50
IEK,unknown_blanks,validation,упак,paired_same_month_last_year,same_month_last_year,194,50,16465.00000000,25059.00000000,69.18556701,44.29896907,81.51837230,52.19556635,0,,0,180.77245901,50
IEK,unknown_blanks,validation,упак,common_all_models,current,171,39,16287.00000000,15764.73390000,57.57732807,-3.05418772,60.45142199,-3.20664395,0,,0,83.66639288,39
IEK,unknown_blanks,validation,упак,common_all_models,last_month,171,39,16287.00000000,16562.00000000,55.00000000,1.60818713,57.74544115,1.68846319,0,,0,82.72516568,39
IEK,unknown_blanks,validation,упак,common_all_models,same_month_last_year,171,39,16287.00000000,24266.00000000,73.52631579,46.66081871,77.19653712,48.98999202,0,,0,151.05434203,39
IEK,unknown_blanks,validation,шт,available,current,5483,1452,665224.00000000,649929.37080000,60.19488065,-2.78946365,49.61464568,-2.29916978,0,,195,187.45400626,1452
IEK,unknown_blanks,validation,шт,available,last_month,4198,1052,652371.00000000,673176.00000000,69.17127203,4.95593140,44.51163525,3.18913624,0,,39,112.53044722,1052
IEK,unknown_blanks,validation,шт,available,same_month_last_year,4113,1075,650780.00000000,698735.00000000,77.86408947,11.65937272,49.21094686,7.36884969,0,,9,169.03519579,1075
IEK,unknown_blanks,validation,шт,paired_last_month,current,4198,1052,652371.00000000,635859.89430000,74.93651584,-3.93308854,48.22156311,-2.53093802,0,,39,124.04632225,1052
IEK,unknown_blanks,validation,шт,paired_last_month,last_month,4198,1052,652371.00000000,673176.00000000,69.17127203,4.95593140,44.51163525,3.18913624,0,,39,112.53044722,1052
IEK,unknown_blanks,validation,шт,paired_same_month_last_year,current,4113,1075,650780.00000000,635021.34890000,76.57762186,-3.83142502,48.39788541,-2.42150206,0,,9,150.20387365,1075
IEK,unknown_blanks,validation,шт,paired_same_month_last_year,same_month_last_year,4113,1075,650780.00000000,698735.00000000,77.86408947,11.65937272,49.21094686,7.36884969,0,,9,169.03519579,1075
IEK,unknown_blanks,validation,шт,common_all_models,current,3510,882,643599.00000000,627178.18980000,87.29097766,-4.67829350,47.60593655,-2.55140393,0,,0,125.19058116,882
IEK,unknown_blanks,validation,шт,common_all_models,last_month,3510,882,643599.00000000,664223.00000000,80.31794872,5.87578348,43.80305128,3.20447981,0,,0,118.22856779,882
IEK,unknown_blanks,validation,шт,common_all_models,same_month_last_year,3510,882,643599.00000000,689900.00000000,88.92905983,13.19116809,48.49929848,7.19407581,0,,0,160.01803999,882
SYSTEME,operational_zero_assumption,test,шт,available,current,1108,554,374053.00000000,340187.77520000,85.98151570,-30.56428231,25.46898953,-9.05358995,445,2.83540629,0,151.84042736,393
SYSTEME,operational_zero_assumption,test,шт,available,last_month,1108,554,374053.00000000,367904.00000000,62.72833935,-5.54963899,18.58105670,-1.64388469,445,3.35056180,0,128.52102162,393
SYSTEME,operational_zero_assumption,test,шт,available,same_month_last_year,1108,554,374053.00000000,325271.00000000,122.52527076,-44.02707581,36.29378724,-13.04146739,445,3.88539326,0,179.20743331,393
SYSTEME,operational_zero_assumption,test,шт,paired_last_month,current,1108,554,374053.00000000,340187.77520000,85.98151570,-30.56428231,25.46898953,-9.05358995,445,2.83540629,0,151.84042736,393
SYSTEME,operational_zero_assumption,test,шт,paired_last_month,last_month,1108,554,374053.00000000,367904.00000000,62.72833935,-5.54963899,18.58105670,-1.64388469,445,3.35056180,0,128.52102162,393
SYSTEME,operational_zero_assumption,test,шт,paired_same_month_last_year,current,1108,554,374053.00000000,340187.77520000,85.98151570,-30.56428231,25.46898953,-9.05358995,445,2.83540629,0,151.84042736,393
SYSTEME,operational_zero_assumption,test,шт,paired_same_month_last_year,same_month_last_year,1108,554,374053.00000000,325271.00000000,122.52527076,-44.02707581,36.29378724,-13.04146739,445,3.88539326,0,179.20743331,393
SYSTEME,operational_zero_assumption,test,шт,common_all_models,current,1108,554,374053.00000000,340187.77520000,85.98151570,-30.56428231,25.46898953,-9.05358995,445,2.83540629,0,151.84042736,393
SYSTEME,operational_zero_assumption,test,шт,common_all_models,last_month,1108,554,374053.00000000,367904.00000000,62.72833935,-5.54963899,18.58105670,-1.64388469,445,3.35056180,0,128.52102162,393
SYSTEME,operational_zero_assumption,test,шт,common_all_models,same_month_last_year,1108,554,374053.00000000,325271.00000000,122.52527076,-44.02707581,36.29378724,-13.04146739,445,3.88539326,0,179.20743331,393
SYSTEME,operational_zero_assumption,validation,шт,available,current,3324,554,838706.00000000,799019.31640000,82.32493646,-11.93943550,32.62741518,-4.73189456,1445,2.64706325,0,143.43618212,452
SYSTEME,operational_zero_assumption,validation,шт,available,last_month,3324,554,838706.00000000,802526.00000000,77.68471721,-10.88447653,30.78838115,-4.31378815,1445,2.77301038,0,145.13129592,452
SYSTEME,operational_zero_assumption,validation,шт,available,same_month_last_year,3324,554,838706.00000000,927134.00000000,91.01444043,26.60288809,36.07128124,10.54338469,1445,7.36193772,0,344.70377282,452
SYSTEME,operational_zero_assumption,validation,шт,paired_last_month,current,3324,554,838706.00000000,799019.31640000,82.32493646,-11.93943550,32.62741518,-4.73189456,1445,2.64706325,0,143.43618212,452
